"LAT","LON","DISTRICT","STATION","count"
23.29,87.33,"PURBA BARDHAMAN         ","MANKER          2",26
26.52,89.8,"ALIPURDUAR      ","BAROBHISHA      ",26
22.42,87.32,"PASCHIM MEDINIPUR","MIDNAPORE(CWC)  ",25
26.32,89.65,"ALIPURDUAR      ","CHEPAN          ",25
26.66,88.74,"ALIPURDUAR      ","BHUTANGHAT/T.T.E",25
27.03,88.87,"KALIMPONG       ","PAREN/JHALUNG   ",25
21.97,87.27,"PASCHIM MEDINIPUR","DANTEN          ",24
22.93,86.77,"BANKURA         ","AMBIKANAGAR     ",24
23.2,87.53,"BANKURA         ","PATRASAYAR      ",24
23.77,87.4,"BIRBHUM         ","HETAMPUR        2",24
23.88,88,"MURSHIDABAD     ","BHARATPUR       ",24
23.98,87.77,"BIRBHUM         ","MAYURESHWAR     ",24
26.72,89.37,"COOCH BEHAR     ","HASIMARA  AERO  ",24
26.58,89,"JALPAIGURI      ","DHUPGURI        ",23
25.53,88.13,"UTTAR DINAJPUR","RAIGANJ         2",22
27.02,88.08,"DARJEELING      ","TANGLU          ",22
23.43,86.13,"PURULIA ","JAIPUR          ",20
26.76,88.59,"JALPAIGURI      ","GAJOLDOBA       ",20
23.12,88.46,"HOOGLY          ","BALAGARH        ",19
22.06,88.12,"PURBA MEDINIPUR","GADGHAT         ",18
22.12,87.95,"PURBA MEDINIPUR","ETAMOGRA        ",18
23.42,87.08,"BANKURA         ","DEULI           ",18
24.25,88.4,"MURSHIDABAD     ","CHANDIPUR       ",18
22.48,87,"JHARGRAM        ","GHARGRAM        ",17
22.67,88.08,"HOWRAH          ","JAGATBALLARPUR  ",17
27.02,88.15,"DARJEELING      ","RAMAN           ",17
25.32,88.77,"DAKSHIN DINAJPUR","MAJHIAN         ",16
26.5,89.53,"ALIPURDUAR      ","ALIPURDUAR(CWC) ",16
27.05,88.42,"KALIMPONG       ","TEESTA BAZAR    ",16
27.06,88.47,"KALIMPONG       ","RESSISUM        ",16
24.83,88.03,"MALDA           ","KALICHAK        ",14
23.43,87.03,"PURBA MEDINIPUR","LACHMANPUR      ",13
24.15,88.24,"MURSHIDABAD     ","JIAGANJ         ",13
26.93,88.7,"KALIMPONG       ","GARUBATHAN      ",13
27,88,"DARJEELING      ","JHEPI           ",13
22.42,87.32,"PASCHIM MEDINIPUR","MIDNAPORE (SCRF)",12
25.27,88.78,"DAKSHIN DINAJPUR","MAHINAGAR       ",12
25.64,88.32,"UTTAR DINAJPUR","KALIAGANJ       ",12
22.42,87,"PURULIA ","PHULBERIA       ",11
22.9,88.37,"HOOGLY          ","CHINSURA        1",11
25.28,88.57,"DAKSHIN DINAJPUR","TAPAN           ",11
25.78,87.92,"UTTAR DINAJPUR","KARANDIGHI      ",11
26.57,88.63,"JALPAIGURI      ","CHEL            ",11
27.03,88.16,"DARJEELING      ","DARJEELING      2",11
22.82,88.22,"HOOGLY          ","SINGUR          ",9
25.87,87.84,"UTTAR DINAJPUR","DALKOLA (FCS)   ",9
22,88,"NADIA           ","KALYANI         2",8
22.08,88.37,"HOOGLY          ","CHINSURA        2",8
22.27,87.92,"PURBA MEDINIPUR","TAMLUK          2",8
22.37,86.43,"24 PARGANAS S   ","BARNIPUR        2",8
23.22,87.88,"PURBA BARDHAMAN         ","BURDAWAN        2",8
21.75,88.05,"24 PARGANAS S   ","SAGAR ISLAND    2",7
22.3,87.3,"PASCHIM MEDINIPUR","KHARAGPORE      2",7
22.47,88.08,"HOWRAH          ","ULUBERIA        3",7
23.35,85.97,"PURULIA ","JHALDA          ",7
24.08,88.27,"MURSHIDABAD     ","BARHAMPORE      2",7
26.23,89.38,"COOCH BEHAR     ","PUNDIBARI       ",7
22.95,88.08,"HOOGLY          ","DHANIAKHALI     2",6
23.05,88.53,"NADIA           ","CHAKDAH         ",6
23.4,88.48,"NADIA           ","KRISHNANAGAR    2",6
26.12,89.47,"COOCH BEHAR     ","DINHATA         2",6
26.3,89.65,"COOCH BEHAR     ","TOOFANGANJ      ",6
26.35,88.28,"UTTAR DINAJPUR","CHOPRA          2",6
26.47,88.42,"DARJEELING      ","SILIGURI        2",6
26.8,89.35,"ALIPURDUAR      ","MOHUA TEA  ESTAT",6
26.85,88.73,"JALPAIGURI      ","MALBAZAR        ",6
22.67,88.12,"HOWRAH          ","JAGATVALLAVPUR  ",5
22.67,88.87,"24 PARGANAS N   ","BASIRHAT        2",5
22.68,88.67,"24 PARGANAS N   ","DEGANGA         2",5
22.97,88.48,"24 PARGANAS N   ","MO KOLKATA      ",5
22.97,88.48,"NADIA           ","KALYANI         1",5
23.48,87.4,"BANKURA         ","SONAMUKHI       2",5
23.8,87.58,"BIRBHUM         ","SHEKHAMPORE     ",5
23.92,87.52,"BIRBHUM         ","SURI            2",5
26.33,88.9,"COOCH BEHAR     ","MEKHLIGANJ      2",5
23.08,86.85,"BANKURA         ","KADAMDEULI      ",4
23.68,88.28,"NADIA           ","DEBAGRAM        2",4
26.7,89.6,"ALIPURDUAR      ","JAYANTI         ",4
27.13,88.62,"KALIMPONG       ","PEDONG          3",4
22.95,86.78,"BANKURA         ","MUKUTMONIPUR    ",3
23.23,87.03,"BANKURA         ","BANKURA         2",3
23.25,86.17,"PURULIA ","ALSHA           ",3
23.42,86.07,"PURULIA ","KOTSHILA        ",3
23.67,86.97,"PASCHIM BARDHAMAN         ","BURNPUR         ",3
24.17,88.27,"MURSHIDABAD     ","LALBAGH         2",3
25.2,87.92,"MALDA           ","RATUA           ",3
25.75,88.13,"UTTAR DINAJPUR","ITAHAR          2",3
26.37,88.31,"UTTAR DINAJPUR","CHOPRA          1",3
26.52,88.72,"JALPAIGURI      ","JALPAIGURI      2",3
26.57,88.92,"JALPAIGURI      ","MAINAGURI       ",3
26.73,89.37,"ALIPURDUAR      ","HASIMARA        2",3
21.67,88.35,"24 PARGANAS S   ","RAIDIGHI        ",2
